,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,georgetown,40,GY,1570557500,62,6.8,-58.16,89.6,13.87
1,jamestown,0,AU,1570557500,86,-33.21,138.6,37.49,9.91
2,ponta do sol,95,BR,1570557501,50,-0.53,-65.05,90.77,1.63
3,maceio,75,BR,1570557501,62,-9.67,-35.74,84.2,14.99
4,kapaa,1,US,1570557318,88,22.08,-159.32,73.99,5.82
5,puerto ayora,75,AR,1570557502,23,-51.62,-69.23,51.8,31.09
6,esperance,95,AU,1570557502,66,-33.86,121.89,55.4,14.99
7,katsuura,20,JP,1570557502,68,33.93,134.5,64.4,6.93
8,ushuaia,75,AR,1570557503,91,-54.81,-68.31,44.6,27.51
9,kloulklubed,75,PW,1570557503,83,7.04,134.26,82.4,10.29
10,paamiut,100,GL,1570557503,92,61.99,-49.67,39.29,11.25
11,laguna,75,BZ,1570557503,79,16.17,-88.94,86.0,4.7
12,barrow,66,AR,1570557504,37,-38.31,-60.23,64.31,13.05
13,mahenge,52,TZ,1570557504,60,-8.68,36.72,79.43,5.4
14,albany,75,US,1570557504,48,42.65,-73.75,66.0,12.75
15,lee,1,US,1570557505,48,45.36,-68.29,64.99,9.17
16,punta arenas,75,PH,1570557505,74,14.18,121.12,82.99,4.0
17,kununurra,46,AU,1570557506,69,-15.77,128.74,78.8,6.93
18,chimbote,37,PE,1570557506,63,-9.08,-78.59,68.63,12.24
19,madang,99,CN,1570557506,93,35.32,102.79,38.75,3.4
20,methoni,40,GR,1570557507,68,36.82,21.7,72.0,8.57
21,wewak,8,PG,1570557507,87,-3.55,143.63,77.99,5.39
22,port alfred,38,CD,1570557507,67,-7.04,29.76,79.43,6.4
23,bredasdorp,0,ZA,1570557508,48,-34.53,20.04,66.2,11.41
24,tuktoyaktuk,20,CA,1570557508,86,69.44,-133.03,26.6,12.75
25,nagaur,0,IN,1570557508,36,27.2,73.74,80.51,2.42
26,upernavik,99,GL,1570557509,50,72.79,-56.15,27.59,4.61
27,aksha,34,RU,1570557509,75,50.28,113.29,42.35,9.82
28,tual,99,ID,1570557509,84,-5.67,132.75,79.07,16.82
29,alice springs,0,ZA,1570557509,72,-32.79,26.83,62.33,5.75
30,saint-pierre,100,FR,1570557510,100,48.95,4.24,59.0,11.41
31,bandarbeyla,0,SO,1570557510,77,9.49,50.81,77.45,8.63
32,lagoa,0,PT,1570557510,69,37.14,-8.45,77.0,5.82
33,busselton,100,AU,1570557511,51,-33.64,115.35,60.01,15.1
34,kavieng,0,PG,1570557511,74,-2.57,150.8,84.47,11.86
35,nanortalik,100,GL,1570557511,88,60.14,-45.24,39.65,10.81
36,san cristobal,78,ML,1570557511,22,13.3,-4.9,92.39,4.29
37,rikitea,100,PF,1570557512,85,-23.12,-134.97,67.19,11.79
38,atuona,9,PF,1570557512,73,-9.8,-139.03,78.71,13.69
39,mahebourg,40,MU,1570557513,69,-20.41,57.7,73.4,14.99
40,turayf,75,SA,1570557513,37,31.68,38.65,84.2,6.93
41,surt,29,LY,1570557513,65,31.21,16.59,75.47,5.64
42,kukmor,98,RU,1570557513,92,56.19,50.9,37.85,6.85
43,chabahar,0,IR,1570557514,70,25.29,60.65,84.2,6.93
44,coquimbo,0,CL,1570557294,72,-29.95,-71.34,60.8,18.34
45,chuy,0,UY,1570557514,52,-33.69,-53.46,67.37,4.12
46,storsteinnes,20,NO,1570557514,59,69.24,19.23,35.6,12.75
47,laurel,1,US,1570557515,63,39.1,-76.85,66.99,13.87
48,mataura,100,NZ,1570557515,97,-46.19,168.86,50.0,1.42
49,zyryanovsk,0,KZ,1570557515,28,49.74,84.27,49.19,5.14
50,jiutai,0,CN,1570557516,42,44.15,125.84,44.6,11.18
51,koslan,96,RU,1570557516,87,63.46,48.9,33.35,14.99
52,butaritari,100,KI,1570557516,63,3.07,172.79,85.55,9.82
53,turukhansk,97,RU,1570557516,91,65.8,87.96,31.19,2.94
54,winslow,0,GB,1570557517,76,51.94,-0.88,55.4,17.22
55,kharopon,75,GR,1570557517,78,41.27,23.38,49.37,0.5
56,eqbaliyeh,0,IR,1570557518,22,35.3,51.54,75.2,6.93
57,mys shmidta,98,RU,1570557518,80,62.06,48.62,34.07,14.13
58,verkhnevilyuysk,100,RU,1570557518,93,63.45,120.31,19.31,6.33
59,bondowoso,91,ID,1570557519,63,-7.91,113.82,63.95,3.51
60,carnarvon,0,ZA,1570557519,17,-30.97,22.13,68.27,11.92
61,provideniya,100,RU,1570557519,99,64.42,-173.23,33.71,3.53
62,mago,90,RU,1570557520,96,53.27,140.15,39.29,1.21
63,yumen,94,CN,1570557520,37,40.29,97.04,52.79,6.26
64,lebu,73,ET,1570557521,86,8.96,38.73,52.25,4.29
65,ban bung,95,LA,1570557521,99,20.02,104.61,64.49,1.0
66,bestobe,0,KZ,1570557521,61,52.5,73.1,56.39,5.84
67,teguldet,19,RU,1570557522,91,57.31,88.17,32.81,4.22
68,kiboga,100,UG,1570557522,97,0.92,31.77,65.03,3.22
69,port elizabeth,38,CD,1570557522,67,-7.04,29.76,79.43,6.4
70,hare bay,1,US,1570557522,34,30.67,-97.27,82.0,4.7
71,alofi,100,NU,1570557523,78,-19.06,-169.92,73.4,5.82
72,sombrio,100,BR,1570557523,51,-29.11,-49.63,72.05,1.81
73,honningsvag,85,NO,1570557523,71,70.98,25.97,39.83,18.3
74,pittsburg,1,US,1570557524,27,38.02,-121.89,79.0,2.42
75,constitucion,5,MX,1570557524,37,23.99,-104.67,72.0,3.36
76,san patricio,78,ML,1570557524,22,13.3,-4.9,92.39,4.29
77,mosquera,40,CO,1570557524,72,4.71,-74.23,59.0,4.7
78,hermanus,17,ZA,1570557525,84,-34.42,19.24,63.0,10.0
79,mangai,94,CD,1570557525,93,-4.07,19.59,73.67,2.28
80,sao filipe,22,IN,1570557525,82,20.51,76.21,72.95,3.18
81,auki,96,NG,1570557526,76,12.18,6.51,78.71,5.03
82,vao,99,EE,1570557526,91,59.1,26.19,40.01,10.74
83,faanui,87,PF,1570557526,84,-16.48,-151.75,77.27,21.22
84,grindavik,100,IS,1570557526,81,63.84,-22.43,51.8,5.82
85,yulara,0,AU,1570557527,27,-25.24,130.99,62.6,5.82
86,marienburg,20,DE,1570557527,87,52.12,9.98,57.2,6.93
87,viedma,39,AR,1570557528,28,-40.81,-62.99,63.77,16.51
